------------------------------------------------
Job ID: 33533977
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 01:25:22 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 01:25:29.423960
|epoch:  24 | lr: 0.006 |train loss: 1.87463 |train loss ravg: 1.98044 |train MAE:  5.41187 |train MAE ravg:  5.74408 |val loss: 2.77475 |val loss ravg: 2.33202 |val MAE:  6.85879 |val MAE ravg:  7.18709 |
|epoch:  25 | lr: 0.006 |train loss: 1.90824 |train loss ravg: 1.97208 |train MAE:  5.45415 |train MAE ravg:  5.71877 |val loss: 2.21986 |val loss ravg: 2.33267 |val MAE:  6.62715 |val MAE ravg:  7.16487 |
|epoch:  26 | lr: 0.006 |train loss: 1.89942 |train loss ravg: 1.96370 |train MAE:  5.40998 |train MAE ravg:  5.68787 |val loss: 2.24972 |val loss ravg: 2.33041 |val MAE:  8.14411 |val MAE ravg:  7.21527 |
|epoch:  27 | lr: 0.006 |train loss: 1.88928 |train loss ravg: 1.95591 |train MAE:  5.38661 |train MAE ravg:  5.65970 |val loss: 2.49931 |val loss ravg: 2.34240 |val MAE:  6.53638 |val MAE ravg:  7.18821 |
|epoch:  28 | lr: 0.006 |train loss: 1.87991 |train loss ravg: 1.94841 |train MAE:  5.55633 |train MAE ravg:  5.64111 |val loss: 2.20494 |val loss ravg: 2.33936 |val MAE:  6.19432 |val MAE ravg:  7.13923 |
|epoch:  29 | lr: 0.006 |train loss: 1.86043 |train loss ravg: 1.93988 |train MAE:  5.35075 |train MAE ravg:  5.61085 |val loss: 2.74225 |val loss ravg: 2.36658 |val MAE:  6.50888 |val MAE ravg:  7.10860 |
|epoch:  30 | lr: 0.006 |train loss: 1.86413 |train loss ravg: 1.93181 |train MAE:  5.39647 |train MAE ravg:  5.58559 |val loss: 3.81915 |val loss ravg: 2.43305 |val MAE:  8.27517 |val MAE ravg:  7.15900 |
|epoch:  31 | lr: 0.006 |train loss: 1.82260 |train loss ravg: 1.92259 |train MAE:  5.09942 |train MAE ravg:  5.54599 |val loss: 2.30377 |val loss ravg: 2.43497 |val MAE:  6.03043 |val MAE ravg:  7.11471 |
|epoch:  32 | lr: 0.006 |train loss: 1.85104 |train loss ravg: 1.91531 |train MAE:  5.37698 |train MAE ravg:  5.52179 |val loss: 3.36873 |val loss ravg: 2.49045 |val MAE:  6.90085 |val MAE ravg:  7.07348 |
|epoch:  33 | lr: 0.004 |train loss: 1.76861 |train loss ravg: 1.90489 |train MAE:  4.93167 |train MAE ravg:  5.47897 |val loss: 2.38754 |val loss ravg: 2.49985 |val MAE:  6.75198 |val MAE ravg:  7.04969 |
|epoch:  34 | lr: 0.004 |train loss: 1.76675 |train loss ravg: 1.89463 |train MAE:  4.98489 |train MAE ravg:  5.44000 |val loss: 2.35939 |val loss ravg: 2.50726 |val MAE:  6.89015 |val MAE ravg:  7.03372 |
|epoch:  35 | lr: 0.004 |train loss: 1.74913 |train loss ravg: 1.88320 |train MAE:  5.00458 |train MAE ravg:  5.40358 |val loss: 2.09202 |val loss ravg: 2.48548 |val MAE:  5.69143 |val MAE ravg:  6.95587 |
|epoch:  36 | lr: 0.004 |train loss: 1.75038 |train loss ravg: 1.87277 |train MAE:  4.77674 |train MAE ravg:  5.35843 |val loss: 2.09717 |val loss ravg: 2.47598 |val MAE:  6.16897 |val MAE ravg:  6.93392 |
|epoch:  37 | lr: 0.004 |train loss: 1.72477 |train loss ravg: 1.86047 |train MAE:  4.89390 |train MAE ravg:  5.31708 |val loss: 2.08529 |val loss ravg: 2.46520 |val MAE:  5.88193 |val MAE ravg:  6.89502 |
|epoch:  38 | lr: 0.004 |train loss: 1.69910 |train loss ravg: 1.84789 |train MAE:  4.71030 |train MAE ravg:  5.27185 |val loss: 3.01832 |val loss ravg: 2.50277 |val MAE:  8.10106 |val MAE ravg:  6.88856 |
|epoch:  39 | lr: 0.004 |train loss: 1.72473 |train loss ravg: 1.83713 |train MAE:  4.92171 |train MAE ravg:  5.23426 |val loss: 2.48416 |val loss ravg: 2.51720 |val MAE:  6.71438 |val MAE ravg:  6.90848 |
|epoch:  40 | lr: 0.004 |train loss: 1.77194 |train loss ravg: 1.82864 |train MAE:  5.07948 |train MAE ravg:  5.21052 |val loss: 2.18179 |val loss ravg: 2.50228 |val MAE:  6.27413 |val MAE ravg:  6.81182 |
|epoch:  41 | lr: 0.004 |train loss: 1.65044 |train loss ravg: 1.81479 |train MAE:  4.57395 |train MAE ravg:  5.16619 |val loss: 2.68026 |val loss ravg: 2.49912 |val MAE:  7.37453 |val MAE ravg:  6.75762 |
|epoch:  42 | lr: 0.004 |train loss: 1.70845 |train loss ravg: 1.80311 |train MAE:  4.83118 |train MAE ravg:  5.12942 |val loss: 2.33507 |val loss ravg: 2.50723 |val MAE:  6.16568 |val MAE ravg:  6.73329 |
|epoch:  43 | lr: 0.004 |train loss: 1.69284 |train loss ravg: 1.79284 |train MAE:  4.81800 |train MAE ravg:  5.09845 |val loss: 2.32587 |val loss ravg: 2.51147 |val MAE:  6.35091 |val MAE ravg:  6.72206 |
|epoch:  44 | lr: 0.003 |train loss: 1.66584 |train loss ravg: 1.78240 |train MAE:  4.63795 |train MAE ravg:  5.05975 |val loss: 4.66545 |val loss ravg: 2.60600 |val MAE:  8.76757 |val MAE ravg:  6.81750 |
|epoch:  45 | lr: 0.003 |train loss: 1.69319 |train loss ravg: 1.77165 |train MAE:  4.70797 |train MAE ravg:  5.02244 |val loss: 2.16858 |val loss ravg: 2.60344 |val MAE:  5.64159 |val MAE ravg:  6.76822 |
|epoch:  46 | lr: 0.003 |train loss: 1.64188 |train loss ravg: 1.75877 |train MAE:  4.66447 |train MAE ravg:  4.98517 |val loss: 2.88937 |val loss ravg: 2.63542 |val MAE:  8.05529 |val MAE ravg:  6.76378 |
|epoch:  47 | lr: 0.003 |train loss: 1.62125 |train loss ravg: 1.74537 |train MAE:  4.52961 |train MAE ravg:  4.94232 |val loss: 2.20853 |val loss ravg: 2.62088 |val MAE:  7.04592 |val MAE ravg:  6.78926 |
|epoch:  48 | lr: 0.003 |train loss: 1.62144 |train loss ravg: 1.73245 |train MAE:  4.59964 |train MAE ravg:  4.89448 |val loss: 2.27739 |val loss ravg: 2.62450 |val MAE:  8.25456 |val MAE ravg:  6.89227 |
|epoch:  49 | lr: 0.003 |train loss: 1.60739 |train loss ravg: 1.71979 |train MAE:  4.56610 |train MAE ravg:  4.85525 |val loss: 3.05463 |val loss ravg: 2.64012 |val MAE:  9.17844 |val MAE ravg:  7.02575 |
|epoch:  50 | lr: 0.003 |train loss: 1.56641 |train loss ravg: 1.70491 |train MAE:  4.27558 |train MAE ravg:  4.79921 |val loss: 5.58188 |val loss ravg: 2.72826 |val MAE:  8.42138 |val MAE ravg:  7.03306 |
|epoch:  51 | lr: 0.003 |train loss: 1.60456 |train loss ravg: 1.69401 |train MAE:  4.57979 |train MAE ravg:  4.77323 |val loss: 2.39393 |val loss ravg: 2.73277 |val MAE:  8.95914 |val MAE ravg:  7.17950 |
|epoch:  52 | lr: 0.003 |train loss: 1.63101 |train loss ravg: 1.68301 |train MAE:  4.66385 |train MAE ravg:  4.73757 |val loss: 3.10792 |val loss ravg: 2.71973 |val MAE:  6.32495 |val MAE ravg:  7.15070 |
|epoch:  53 | lr: 0.003 |train loss: 1.56978 |train loss ravg: 1.67306 |train MAE:  4.50745 |train MAE ravg:  4.71636 |val loss: 2.26197 |val loss ravg: 2.71345 |val MAE:  5.94645 |val MAE ravg:  7.11042 |
|epoch:  54 | lr: 0.003 |train loss: 1.58794 |train loss ravg: 1.66412 |train MAE:  4.55671 |train MAE ravg:  4.69495 |val loss: 3.44372 |val loss ravg: 2.76767 |val MAE:  8.56803 |val MAE ravg:  7.19432 |
|epoch:  55 | lr: 0.002 |train loss: 1.57719 |train loss ravg: 1.65553 |train MAE:  4.59853 |train MAE ravg:  4.67465 |val loss: 2.64734 |val loss ravg: 2.79543 |val MAE:  7.42762 |val MAE ravg:  7.28113 |
|epoch:  56 | lr: 0.002 |train loss: 1.54035 |train loss ravg: 1.64502 |train MAE:  4.29113 |train MAE ravg:  4.65037 |val loss: 2.48511 |val loss ravg: 2.81483 |val MAE:  6.55268 |val MAE ravg:  7.30031 |
|epoch:  57 | lr: 0.002 |train loss: 1.52227 |train loss ravg: 1.63490 |train MAE:  4.27573 |train MAE ravg:  4.61946 |val loss: 2.37691 |val loss ravg: 2.82941 |val MAE:  5.69696 |val MAE ravg:  7.29106 |
|epoch:  58 | lr: 0.002 |train loss: 1.54249 |train loss ravg: 1.62707 |train MAE:  4.23101 |train MAE ravg:  4.59549 |val loss: 2.48556 |val loss ravg: 2.80277 |val MAE:  6.91697 |val MAE ravg:  7.23186 |
|epoch:  59 | lr: 0.002 |train loss: 1.51415 |train loss ravg: 1.61654 |train MAE:  4.27156 |train MAE ravg:  4.56298 |val loss: 2.85410 |val loss ravg: 2.82127 |val MAE:  9.92630 |val MAE ravg:  7.39246 |
|epoch:  60 | lr: 0.002 |train loss: 1.47959 |train loss ravg: 1.60192 |train MAE:  4.02172 |train MAE ravg:  4.51010 |val loss: 2.19418 |val loss ravg: 2.82189 |val MAE:  5.31070 |val MAE ravg:  7.34428 |
