------------------------------------------------
Job ID: 33534000
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 01:26:26 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 01:26:32.514488
|epoch:  24 | lr: 0.006 |train loss: 1.91765 |train loss ravg: 1.98326 |train MAE:  5.55431 |train MAE ravg:  5.77311 |val loss: 2.36113 |val loss ravg: 2.32233 |val MAE:  6.42483 |val MAE ravg:  7.21520 |
|epoch:  25 | lr: 0.006 |train loss: 1.88571 |train loss ravg: 1.97343 |train MAE:  5.42210 |train MAE ravg:  5.74582 |val loss: 2.52184 |val loss ravg: 2.33713 |val MAE:  7.31284 |val MAE ravg:  7.22044 |
|epoch:  26 | lr: 0.006 |train loss: 1.91874 |train loss ravg: 1.96633 |train MAE:  5.58305 |train MAE ravg:  5.72510 |val loss: 2.19938 |val loss ravg: 2.33493 |val MAE:  6.57214 |val MAE ravg:  7.19384 |
|epoch:  27 | lr: 0.006 |train loss: 1.89092 |train loss ravg: 1.95849 |train MAE:  5.44789 |train MAE ravg:  5.69973 |val loss: 2.94316 |val loss ravg: 2.37031 |val MAE:  6.59410 |val MAE ravg:  7.16419 |
|epoch:  28 | lr: 0.006 |train loss: 1.86038 |train loss ravg: 1.95006 |train MAE:  5.30260 |train MAE ravg:  5.67176 |val loss: 2.19778 |val loss ravg: 2.36906 |val MAE:  6.40141 |val MAE ravg:  7.11418 |
|epoch:  29 | lr: 0.006 |train loss: 1.86340 |train loss ravg: 1.94201 |train MAE:  5.31842 |train MAE ravg:  5.64339 |val loss: 2.69414 |val loss ravg: 2.39107 |val MAE:  8.20260 |val MAE ravg:  7.14287 |
|epoch:  30 | lr: 0.006 |train loss: 1.83661 |train loss ravg: 1.93299 |train MAE:  5.11938 |train MAE ravg:  5.60445 |val loss: 2.35261 |val loss ravg: 2.39120 |val MAE:  6.36964 |val MAE ravg:  7.10160 |
|epoch:  31 | lr: 0.006 |train loss: 1.82440 |train loss ravg: 1.92300 |train MAE:  5.14656 |train MAE ravg:  5.56454 |val loss: 2.69481 |val loss ravg: 2.41463 |val MAE:  6.65453 |val MAE ravg:  7.09113 |
|epoch:  32 | lr: 0.006 |train loss: 1.81791 |train loss ravg: 1.91444 |train MAE:  5.09269 |train MAE ravg:  5.52666 |val loss: 2.30248 |val loss ravg: 2.41828 |val MAE:  7.18816 |val MAE ravg:  7.07072 |
|epoch:  33 | lr: 0.004 |train loss: 1.77905 |train loss ravg: 1.90455 |train MAE:  5.03215 |train MAE ravg:  5.48776 |val loss: 3.26097 |val loss ravg: 2.47014 |val MAE:  8.17596 |val MAE ravg:  7.11128 |
|epoch:  34 | lr: 0.004 |train loss: 1.78506 |train loss ravg: 1.89494 |train MAE:  5.03086 |train MAE ravg:  5.45399 |val loss: 2.39783 |val loss ravg: 2.47971 |val MAE:  7.56428 |val MAE ravg:  7.12352 |
|epoch:  35 | lr: 0.004 |train loss: 1.79522 |train loss ravg: 1.88481 |train MAE:  5.15130 |train MAE ravg:  5.41988 |val loss: 2.37477 |val loss ravg: 2.48847 |val MAE:  6.09783 |val MAE ravg:  7.10517 |
|epoch:  36 | lr: 0.004 |train loss: 1.76844 |train loss ravg: 1.87478 |train MAE:  4.95686 |train MAE ravg:  5.37898 |val loss: 2.20290 |val loss ravg: 2.48397 |val MAE:  7.46247 |val MAE ravg:  7.13809 |
