------------------------------------------------
Job ID: 41680212
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 26 09:40:17 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-03-26 09:40:24.176029
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.62953 |train kld ravg: 2.62953 |train mae:  11.71678 |train mae ravg:  11.71678 |val kld: 2.29045 |val kldravg: 2.29045 |val mae:  8.69884 |val mae ravg:  8.69884 |
|epoch:   1 | lr: 0.100 |train kld: 2.39734 |train kld ravg: 2.51343 |train mae:  8.08584 |train mae ravg:  9.90131 |val kld: 2.18066 |val kldravg: 2.23556 |val mae:  7.21497 |val mae ravg:  7.95691 |
|epoch:   2 | lr: 0.100 |train kld: 2.42727 |train kld ravg: 2.48471 |train mae:  7.91299 |train mae ravg:  9.23854 |val kld: 2.18173 |val kldravg: 2.21761 |val mae:  6.89624 |val mae ravg:  7.60335 |
|epoch:   3 | lr: 0.100 |train kld: 2.31644 |train kld ravg: 2.44265 |train mae:  7.01657 |train mae ravg:  8.68304 |val kld: 2.09753 |val kldravg: 2.18759 |val mae:  6.40438 |val mae ravg:  7.30361 |
|epoch:   4 | lr: 0.100 |train kld: 2.36429 |train kld ravg: 2.42697 |train mae:  7.75425 |train mae ravg:  8.49729 |val kld: 2.16089 |val kldravg: 2.18225 |val mae:  6.19263 |val mae ravg:  7.08141 |
|epoch:   5 | lr: 0.100 |train kld: 2.24705 |train kld ravg: 2.35048 |train mae:  6.82020 |train mae ravg:  7.51797 |val kld: 2.07964 |val kldravg: 2.14009 |val mae:  6.43160 |val mae ravg:  6.62797 |
|epoch:   6 | lr: 0.100 |train kld: 2.25208 |train kld ravg: 2.32143 |train mae:  7.12610 |train mae ravg:  7.32602 |val kld: 2.13175 |val kldravg: 2.13031 |val mae:  6.68716 |val mae ravg:  6.52240 |
|epoch:   7 | lr: 0.100 |train kld: 2.30117 |train kld ravg: 2.29621 |train mae:  6.81484 |train mae ravg:  7.10639 |val kld: 2.08270 |val kldravg: 2.11050 |val mae:  6.23763 |val mae ravg:  6.39068 |
|epoch:   8 | lr: 0.100 |train kld: 2.28086 |train kld ravg: 2.28909 |train mae:  6.92081 |train mae ravg:  7.08724 |val kld: 2.07012 |val kldravg: 2.10502 |val mae:  6.04657 |val mae ravg:  6.31912 |
|epoch:   9 | lr: 0.100 |train kld: 2.27284 |train kld ravg: 2.27080 |train mae:  6.78635 |train mae ravg:  6.89366 |val kld: 2.10211 |val kldravg: 2.09326 |val mae:  6.04812 |val mae ravg:  6.29022 |
|epoch:  10 | lr: 0.100 |train kld: 2.20167 |train kld ravg: 2.26172 |train mae:  6.27747 |train mae ravg:  6.78511 |val kld: 2.09863 |val kldravg: 2.09706 |val mae:  6.59705 |val mae ravg:  6.32331 |
|epoch:  11 | lr: 0.100 |train kld: 2.24619 |train kld ravg: 2.26055 |train mae:  6.94285 |train mae ravg:  6.74846 |val kld: 2.08395 |val kldravg: 2.08750 |val mae:  6.39362 |val mae ravg:  6.26460 |
|epoch:  12 | lr: 0.100 |train kld: 2.30571 |train kld ravg: 2.26145 |train mae:  7.29639 |train mae ravg:  6.84478 |val kld: 2.11522 |val kldravg: 2.09401 |val mae:  6.02280 |val mae ravg:  6.22163 |
|epoch:  13 | lr: 0.100 |train kld: 2.31227 |train kld ravg: 2.26773 |train mae:  6.89555 |train mae ravg:  6.83972 |val kld: 2.09724 |val kldravg: 2.09943 |val mae:  6.01319 |val mae ravg:  6.21496 |
|epoch:  14 | lr: 0.100 |train kld: 2.27764 |train kld ravg: 2.26870 |train mae:  6.90156 |train mae ravg:  6.86276 |val kld: 2.19720 |val kldravg: 2.11845 |val mae:  6.29291 |val mae ravg:  6.26391 |
|epoch:  15 | lr: 0.100 |train kld: 2.29631 |train kld ravg: 2.28762 |train mae:  6.47143 |train mae ravg:  6.90156 |val kld: 2.05219 |val kldravg: 2.10916 |val mae:  6.17336 |val mae ravg:  6.17918 |
|epoch:  16 | lr: 0.100 |train kld: 2.32374 |train kld ravg: 2.30313 |train mae:  6.38091 |train mae ravg:  6.78917 |val kld: 1.95678 |val kldravg: 2.08373 |val mae:  5.93187 |val mae ravg:  6.08683 |
|epoch:  17 | lr: 0.100 |train kld: 2.29041 |train kld ravg: 2.30007 |train mae:  6.04494 |train mae ravg:  6.53888 |val kld: 2.02561 |val kldravg: 2.06580 |val mae:  6.14927 |val mae ravg:  6.11212 |
