,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
105,105.0,0.0,0.10775,0.97294,0.67802,0.70969
106,106.0,0.0,0.11064,0.97165,0.66332,0.73571
107,107.0,0.0,0.11076,0.97216,0.71346,0.73622
108,108.0,0.0,0.1122,0.97088,0.70524,0.73367
109,109.0,0.0,0.11736,0.96701,0.74489,0.72092
110,110.0,0.0,0.11336,0.96856,0.73336,0.7301
111,111.0,0.0,0.11232,0.96778,0.73617,0.72245
112,112.0,0.0,0.10766,0.96804,0.68326,0.74082
113,113.0,0.0,0.11264,0.96624,0.82361,0.70459
114,114.0,0.0,0.10978,0.96933,0.79412,0.72143
115,115.0,0.0,0.11262,0.96907,0.78692,0.71837
116,116.0,0.0,0.10835,0.97062,0.78536,0.71888
117,117.0,0.0,0.10757,0.97191,0.79913,0.72449
118,118.0,0.0,0.0984,0.97423,0.79277,0.73214
119,119.0,0.0,0.09549,0.975,0.78858,0.72398
120,120.0,0.0,0.09452,0.97474,0.77655,0.72806
121,121.0,0.0,0.0891,0.97783,0.77554,0.73418
122,122.0,0.0,0.08617,0.97861,0.77803,0.72653
123,123.0,0.0,0.08293,0.98144,0.67301,0.74949
124,124.0,0.0,0.08185,0.98196,0.6597,0.74745
125,125.0,0.0,0.07562,0.98479,0.668,0.74694
126,126.0,0.0,0.07627,0.98428,0.67892,0.74133
127,127.0,0.0,0.07757,0.98325,0.66022,0.73316
128,128.0,0.0,0.07825,0.98222,0.67453,0.72857
129,129.0,0.0,0.07717,0.98144,0.69187,0.74337
130,130.0,0.0,0.07878,0.98093,0.71293,0.72551
131,131.0,0.0,0.07989,0.98093,0.70122,0.70969
132,132.0,0.0,0.08025,0.9799,0.72552,0.71786
133,133.0,0.0,0.07842,0.98196,0.70024,0.72908
134,134.0,0.0,0.08081,0.98144,0.69097,0.72194
135,135.0,0.0,0.08049,0.98119,0.65861,0.73827
136,136.0,0.0,0.07997,0.98015,0.675,0.75561
137,137.0,0.0,0.07741,0.98247,0.6442,0.76071
138,138.0,0.0,0.07823,0.98093,0.66615,0.74643
139,139.0,0.0,0.07906,0.97964,0.68073,0.75051
140,140.0,0.0,0.08001,0.97912,0.68019,0.74082
141,141.0,0.0,0.08126,0.97887,0.67322,0.7352
142,142.0,0.0,0.08087,0.97861,0.67809,0.73469
143,143.0,0.0,0.08224,0.97861,0.64518,0.75255
144,144.0,0.0,0.07838,0.98067,0.63218,0.75102
145,145.0,0.0,0.07547,0.98247,0.6248,0.75969
146,146.0,0.0,0.07325,0.98376,0.65738,0.75408
147,147.0,0.0,0.07591,0.9817,0.72066,0.72347
148,148.0,0.0,0.07712,0.98093,0.74036,0.71173
149,149.0,0.0,0.07936,0.98093,0.73896,0.71531
