------------------------------------------------
Job ID: 39048256
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sun Mar 14 16:16:32 GMT 2021
------------------------------------------------
Loading ixi train data.
The data was balanced for  sex .
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-14 16:16:39.928943
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 0.83034 |train ent ravg: 0.83034 |train acc:  0.47500 |train acc ravg:  0.47500 |val ent: 11.62788 |val entravg: 11.62788 |val acc:  0.42308 |val acc ravg:  0.42308 |
|epoch:   1 | lr: 0.100 |train ent: 0.95901 |train ent ravg: 0.89468 |train acc:  0.51250 |train acc ravg:  0.49375 |val ent: 12.74045 |val entravg: 12.18417 |val acc:  0.42308 |val acc ravg:  0.42308 |
|epoch:   2 | lr: 0.100 |train ent: 0.72844 |train ent ravg: 0.83927 |train acc:  0.53333 |train acc ravg:  0.50694 |val ent: 0.66622 |val entravg: 8.34485 |val acc:  0.57692 |val acc ravg:  0.47436 |
|epoch:   3 | lr: 0.100 |train ent: 0.71832 |train ent ravg: 0.80903 |train acc:  0.50417 |train acc ravg:  0.50625 |val ent: 0.69646 |val entravg: 6.43275 |val acc:  0.51923 |val acc ravg:  0.48558 |
|epoch:   4 | lr: 0.100 |train ent: 0.66337 |train ent ravg: 0.77990 |train acc:  0.59583 |train acc ravg:  0.52417 |val ent: 0.71143 |val entravg: 5.28849 |val acc:  0.57692 |val acc ravg:  0.50385 |
|epoch:   5 | lr: 0.100 |train ent: 0.68704 |train ent ravg: 0.75124 |train acc:  0.57917 |train acc ravg:  0.54500 |val ent: 2.98935 |val entravg: 3.56078 |val acc:  0.42308 |val acc ravg:  0.50385 |
|epoch:   6 | lr: 0.100 |train ent: 0.72536 |train ent ravg: 0.70451 |train acc:  0.50833 |train acc ravg:  0.54417 |val ent: 0.66706 |val entravg: 1.14611 |val acc:  0.60577 |val acc ravg:  0.54038 |
|epoch:   7 | lr: 0.100 |train ent: 0.69078 |train ent ravg: 0.69698 |train acc:  0.57917 |train acc ravg:  0.55333 |val ent: 0.67544 |val entravg: 1.14795 |val acc:  0.59615 |val acc ravg:  0.54423 |
|epoch:   8 | lr: 0.100 |train ent: 0.70079 |train ent ravg: 0.69347 |train acc:  0.54167 |train acc ravg:  0.56083 |val ent: 0.69694 |val entravg: 1.14804 |val acc:  0.47115 |val acc ravg:  0.53462 |
|epoch:   9 | lr: 0.100 |train ent: 0.70148 |train ent ravg: 0.70109 |train acc:  0.54167 |train acc ravg:  0.55000 |val ent: 0.68584 |val entravg: 1.14293 |val acc:  0.59615 |val acc ravg:  0.53846 |
|epoch:  10 | lr: 0.100 |train ent: 0.69869 |train ent ravg: 0.70342 |train acc:  0.52500 |train acc ravg:  0.53917 |val ent: 0.67053 |val entravg: 0.67916 |val acc:  0.57692 |val acc ravg:  0.56923 |
|epoch:  11 | lr: 0.100 |train ent: 0.68895 |train ent ravg: 0.69614 |train acc:  0.54167 |train acc ravg:  0.54583 |val ent: 0.68825 |val entravg: 0.68340 |val acc:  0.57692 |val acc ravg:  0.56346 |
|epoch:  12 | lr: 0.100 |train ent: 0.71416 |train ent ravg: 0.70081 |train acc:  0.56250 |train acc ravg:  0.54250 |val ent: 0.68479 |val entravg: 0.68527 |val acc:  0.58654 |val acc ravg:  0.56154 |
|epoch:  13 | lr: 0.100 |train ent: 0.70223 |train ent ravg: 0.70110 |train acc:  0.50000 |train acc ravg:  0.53417 |val ent: 0.70744 |val entravg: 0.68737 |val acc:  0.59615 |val acc ravg:  0.58654 |
|epoch:  14 | lr: 0.100 |train ent: 0.69145 |train ent ravg: 0.69910 |train acc:  0.55833 |train acc ravg:  0.53750 |val ent: 0.66597 |val entravg: 0.68340 |val acc:  0.61538 |val acc ravg:  0.59038 |
|epoch:  15 | lr: 0.100 |train ent: 0.68805 |train ent ravg: 0.69697 |train acc:  0.58333 |train acc ravg:  0.54917 |val ent: 0.71406 |val entravg: 0.69210 |val acc:  0.59615 |val acc ravg:  0.59423 |
|epoch:  16 | lr: 0.100 |train ent: 0.69537 |train ent ravg: 0.69825 |train acc:  0.52500 |train acc ravg:  0.54583 |val ent: 0.67815 |val entravg: 0.69008 |val acc:  0.61538 |val acc ravg:  0.60192 |
|epoch:  17 | lr: 0.100 |train ent: 0.70815 |train ent ravg: 0.69705 |train acc:  0.53750 |train acc ravg:  0.54083 |val ent: 0.69131 |val entravg: 0.69139 |val acc:  0.56731 |val acc ravg:  0.59808 |
|epoch:  18 | lr: 0.100 |train ent: 0.67178 |train ent ravg: 0.69096 |train acc:  0.58750 |train acc ravg:  0.55833 |val ent: 0.83811 |val entravg: 0.71752 |val acc:  0.44231 |val acc ravg:  0.56731 |
