,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
93,93.0,0.013,0.59884,0.67083,1.08219,0.50667
94,94.0,0.013,0.58494,0.685,1.13127,0.50833
95,95.0,0.013,0.57717,0.69833,1.13454,0.51167
96,96.0,0.013,0.56915,0.72,7.29441,0.51167
97,97.0,0.013,0.5394,0.74417,7.33213,0.505
98,98.0,0.013,0.52167,0.76,17.21637,0.49833
99,99.0,0.013,0.52055,0.75667,17.20009,0.49833
100,100.0,0.013,0.51439,0.76083,17.17208,0.50167
101,101.0,0.013,0.5187,0.7425,11.05558,0.505
102,102.0,0.013,0.52093,0.745,11.10439,0.50333
103,103.0,0.013,0.51205,0.74583,3.60939,0.505
104,104.0,0.013,0.51461,0.74667,3.61637,0.505
105,105.0,0.013,0.52266,0.7375,3.70208,0.51333
106,106.0,0.013,0.51897,0.73583,3.68718,0.51167
107,107.0,0.013,0.51682,0.74,4.02985,0.515
108,108.0,0.013,0.52753,0.73833,3.39003,0.52167
109,109.0,0.013,0.50584,0.755,3.40355,0.52
110,110.0,0.013,0.5048,0.75583,4.77346,0.50833
111,111.0,0.013,0.51034,0.76333,4.67596,0.55167
112,112.0,0.013,0.49679,0.77333,4.24285,0.59167
113,113.0,0.013,0.49248,0.77833,2.34713,0.585
114,114.0,0.013,0.49501,0.78,2.4631,0.59667
115,115.0,0.013,0.48834,0.78833,1.09553,0.595
116,116.0,0.013,0.4788,0.79167,1.08738,0.59833
117,117.0,0.013,0.48335,0.78917,1.70098,0.555
118,118.0,0.013,0.48049,0.78667,1.71945,0.555
119,119.0,0.013,0.51626,0.75417,1.52316,0.545
120,120.0,0.006,0.56385,0.69417,1.41771,0.545
121,121.0,0.006,0.61159,0.6375,1.45028,0.49833
122,122.0,0.006,0.65027,0.59917,0.89687,0.495
123,123.0,0.006,0.65932,0.5975,0.83688,0.49333
124,124.0,0.006,0.62286,0.62833,1.25407,0.495
125,125.0,0.006,0.57316,0.69167,1.22481,0.53667
126,126.0,0.006,0.52553,0.7425,1.27058,0.535
127,127.0,0.006,0.48761,0.77083,1.27819,0.54333
128,128.0,0.006,0.48823,0.77,1.85704,0.54667
129,129.0,0.006,0.48493,0.77333,1.51829,0.54667
130,130.0,0.006,0.48093,0.77917,3.00012,0.50333
131,131.0,0.006,0.47731,0.78083,2.90956,0.57
132,132.0,0.006,0.46725,0.79833,3.03515,0.57167
133,133.0,0.006,0.46201,0.8,2.46845,0.57
134,134.0,0.006,0.46093,0.79333,2.85922,0.56833
135,135.0,0.006,0.45223,0.79417,1.35499,0.63
136,136.0,0.006,0.44739,0.79667,1.38806,0.61
137,137.0,0.006,0.44494,0.79833,1.18863,0.64333
138,138.0,0.006,0.4354,0.80583,1.11473,0.68667
139,139.0,0.006,0.43524,0.80833,0.91629,0.68833
140,140.0,0.006,0.43899,0.80417,1.0605,0.62667
141,141.0,0.006,0.4385,0.80417,1.14103,0.57667
142,142.0,0.006,0.44683,0.79,1.73029,0.54167
143,143.0,0.006,0.43578,0.78583,1.8323,0.50167
144,144.0,0.006,0.43927,0.78583,1.50754,0.55667
145,145.0,0.006,0.43834,0.78583,1.42845,0.57333
146,146.0,0.006,0.42877,0.79833,1.58921,0.58333
147,147.0,0.006,0.41495,0.8125,1.12026,0.595
148,148.0,0.006,0.40971,0.8225,1.13824,0.59333
149,149.0,0.006,0.40111,0.82667,1.14601,0.59
150,150.0,0.003,0.39983,0.8275,1.07823,0.635
151,151.0,0.003,0.40363,0.82917,0.94136,0.625
152,152.0,0.003,0.38891,0.83667,0.77928,0.67167
153,153.0,0.003,0.38918,0.83667,0.67036,0.71833
154,154.0,0.003,0.374,0.84833,0.66728,0.72
155,155.0,0.003,0.37706,0.8525,0.72898,0.69167
156,156.0,0.003,0.36162,0.86,0.64254,0.73167
157,157.0,0.003,0.37207,0.8575,0.68285,0.71833
158,158.0,0.003,0.36286,0.86333,0.69981,0.69833
159,159.0,0.003,0.37702,0.8525,0.67693,0.715
160,160.0,0.003,0.3535,0.86,0.66751,0.72
161,161.0,0.003,0.36008,0.8525,0.70288,0.69667
162,162.0,0.003,0.3574,0.85333,0.70075,0.69333
163,163.0,0.003,0.35384,0.85417,0.73832,0.70333
164,164.0,0.003,0.33925,0.86167,0.80736,0.67
165,165.0,0.003,0.32893,0.86917,0.82446,0.66833
166,166.0,0.003,0.32849,0.8725,0.77354,0.70333
167,167.0,0.003,0.3324,0.87,0.7374,0.72667
168,168.0,0.003,0.33079,0.87167,0.65487,0.74167
169,169.0,0.003,0.32695,0.87,0.75855,0.70167
170,170.0,0.003,0.34202,0.86333,0.77671,0.69
171,171.0,0.003,0.32997,0.865,0.77384,0.68833
172,172.0,0.003,0.31536,0.86833,1.28181,0.62833
173,173.0,0.003,0.34292,0.85417,1.31306,0.59167
174,174.0,0.003,0.34514,0.8575,1.19322,0.64667
175,175.0,0.003,0.334,0.85917,1.85475,0.63
176,176.0,0.003,0.3414,0.85833,1.89933,0.61333
177,177.0,0.003,0.34816,0.85833,1.42783,0.66
178,178.0,0.003,0.3293,0.86583,1.40001,0.695
179,179.0,0.003,0.32832,0.86833,2.1395,0.64333
180,180.0,0.002,0.33115,0.86583,1.42138,0.68667
181,181.0,0.002,0.32101,0.86667,1.38456,0.70667
182,182.0,0.002,0.31847,0.86667,1.36788,0.71333
183,183.0,0.002,0.31566,0.86667,1.37154,0.70833
184,184.0,0.002,0.30885,0.86417,0.63468,0.75333
185,185.0,0.002,0.30882,0.8625,0.6124,0.765
186,186.0,0.002,0.29755,0.87083,0.59481,0.77167
187,187.0,0.002,0.30503,0.86833,0.57982,0.77
188,188.0,0.002,0.30832,0.86417,0.62172,0.77167
189,189.0,0.002,0.30854,0.87,0.67789,0.74167
190,190.0,0.002,0.29637,0.88,0.68641,0.73667
191,191.0,0.002,0.30948,0.86917,0.67116,0.74167
192,192.0,0.002,0.30578,0.86833,0.74158,0.715
193,193.0,0.002,0.28809,0.8825,0.66982,0.735
194,194.0,0.002,0.27258,0.89083,0.57846,0.775
195,195.0,0.002,0.28194,0.885,0.58994,0.775
196,196.0,0.002,0.28234,0.8875,0.73008,0.73167
197,197.0,0.002,0.27319,0.89333,0.73912,0.73
198,198.0,0.002,0.28176,0.88417,0.73513,0.725
199,199.0,0.002,0.27843,0.885,0.77433,0.72
200,200.0,0.002,0.27682,0.88917,0.87609,0.665
201,201.0,0.002,0.26865,0.89667,0.78698,0.685
202,202.0,0.002,0.2705,0.89333,1.0366,0.67
203,203.0,0.002,0.2669,0.89833,1.05169,0.67167
204,204.0,0.002,0.27751,0.895,1.02028,0.68333
205,205.0,0.002,0.26765,0.89917,1.16006,0.69167
206,206.0,0.002,0.25984,0.89917,1.11552,0.71833
207,207.0,0.002,0.25628,0.90667,0.83322,0.745
208,208.0,0.002,0.24976,0.91333,0.90566,0.72833
209,209.0,0.002,0.25563,0.90917,0.94047,0.71167
210,210.0,0.001,0.253,0.91333,0.70513,0.765
211,211.0,0.001,0.25518,0.91333,0.68746,0.76833
212,212.0,0.001,0.23176,0.92333,0.64168,0.79167
213,213.0,0.001,0.22601,0.92333,0.56179,0.81
214,214.0,0.001,0.21357,0.92917,0.54473,0.80833
215,215.0,0.001,0.21241,0.92333,0.51988,0.80333
216,216.0,0.001,0.19837,0.92917,0.52744,0.80167
217,217.0,0.001,0.22518,0.92083,0.53518,0.79333
218,218.0,0.001,0.22901,0.92,0.54978,0.78833
219,219.0,0.001,0.22823,0.9175,0.5187,0.81
220,220.0,0.001,0.23375,0.92083,0.52412,0.815
221,221.0,0.001,0.23315,0.91917,0.53536,0.80333
222,222.0,0.001,0.2182,0.915,0.53067,0.805
223,223.0,0.001,0.22214,0.91167,0.57871,0.8
224,224.0,0.001,0.22719,0.90583,0.58505,0.79667
225,225.0,0.001,0.22366,0.90333,0.61596,0.78167
226,226.0,0.001,0.22941,0.90583,0.59839,0.79333
227,227.0,0.001,0.22031,0.91667,0.60498,0.79167
228,228.0,0.001,0.20462,0.92417,0.53811,0.80167
229,229.0,0.001,0.20292,0.93083,0.53926,0.8
230,230.0,0.001,0.19584,0.935,0.51648,0.81167
231,231.0,0.001,0.1994,0.93667,0.53196,0.80833
232,232.0,0.001,0.20325,0.93167,0.56466,0.8
233,233.0,0.001,0.21495,0.92583,0.57741,0.79833
234,234.0,0.001,0.20263,0.93083,0.57581,0.79667
235,235.0,0.001,0.19853,0.93083,0.57603,0.8
236,236.0,0.001,0.18819,0.93167,0.60305,0.78333
237,237.0,0.001,0.18418,0.93917,0.57201,0.79
238,238.0,0.001,0.17643,0.94667,0.6193,0.78333
239,239.0,0.001,0.18501,0.94417,0.6255,0.785
240,240.0,0.0,0.19349,0.94333,0.60759,0.78333
241,241.0,0.0,0.19672,0.9375,0.57486,0.80333
242,242.0,0.0,0.19767,0.93417,0.57457,0.81
243,243.0,0.0,0.19592,0.93167,0.53025,0.815
244,244.0,0.0,0.18732,0.93333,0.53879,0.81167
245,245.0,0.0,0.17895,0.93667,0.5455,0.81333
246,246.0,0.0,0.1769,0.9425,0.54022,0.81
247,247.0,0.0,0.17465,0.94333,0.53436,0.81667
248,248.0,0.0,0.17047,0.94917,0.5341,0.81667
249,249.0,0.0,0.17731,0.94833,0.54615,0.81
